source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.1832,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,419.41,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,117.3,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,406.53,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,247.29,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,207.26,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,111.81,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.6665,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,223.26,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,362.49,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,114.29,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Greater China Equity Fund,大中華股票基金,322.35,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,332.23,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Growth Portfolio,增長組合,356.14,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Guaranteed Portfolio,保證組合,,,,1.0,
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,175.45,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Manager's Choice Fund,基金經理精選退休基金,217.75,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MPF Conservative Fund,強積金保守基金,124.16,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,North American Equity Fund,北美股票基金,487.11,,,3a,"4b, 4d"
consolidated_list_for_jul_25_read_only.xls,2025-07-31,July 2025,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,World Fund,全球基金,249.4,,,3a,"4b, 4d"
