source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.2068,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,283.83,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,118.32,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,348.58,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,251.84,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,216.28,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,125.96,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.4266,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,196.53,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,275.29,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Capital Stable Fund,富達穩定資本基金,137.69,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Growth Fund,富達增長基金,188.39,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Stable Growth Fund,富達穩定增長基金,162.28,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,134.38,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Greater China Equity Fund,大中華股票基金,371.2,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,237.95,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Growth Portfolio,增長組合,327.81,,,3a,"4b, 4d"
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Guaranteed Portfolio,保證組合,,,,1.0,
consolidated_list_for_jun_21_read_only.xls,2021-06-30,Jun 2021,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,182.35,,,3a,"4b, 4d"
