source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.138,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,365.79,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,111.65,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,341.51,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,222.23,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,192.66,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,90.53,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.5158,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,196.42,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,320.56,,,3a,"4b, 4d"
consolidated_list_for_jul_24_read_only.xls,2024-07-31,July 2024,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,110.94,,,3a,"4b, 4d"
