source_file,snapshot_date,month_label,trustee_en,trustee_zh,scheme_en,scheme_zh,fund_en,fund_zh,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Age 65 Plus Fund,65歲後基金,1.0225,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,239,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,99.77,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Equity Fund,亞洲股票基金,252.83,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,191.47,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Capital Stable Portfolio,穩定資本組合,171.59,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,88.89,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Core Accumulation Fund,核心累積基金,1.1738,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,140.13,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,European Equity Fund,歐洲股票基金,209,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Capital Stable Fund,富達穩定資本基金,105.67,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Growth Fund,富達增長基金,128.89,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Fidelity Stable Growth Fund,富達穩定增長基金,119.25,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,101.02,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Greater China Equity Fund,大中華股票基金,215.98,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,191.27,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Growth Portfolio,增長組合,234.6,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Guaranteed Portfolio,保證組合,,,,1.0,
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,113.11,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Manager's Choice Fund,基金經理精選退休基金,169.46,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MPF Conservative Fund,強積金保守基金,114.5,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,North American Equity Fund,北美股票基金,285.71,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,World Fund,全球基金,146.85,,,3a,"4b, 4d"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Age 65 Plus Fund,BCT（行業）65歲後基金,1.0143,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Asian Equity Fund,BCT（行業）亞洲股票基金,3.0685,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Core Accumulation Fund,BCT（行業）核心累積基金,1.1467,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E30 Mixed Asset Fund,BCT（行業）E30 混合資產基金,1.7112,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E50 Mixed Asset Fund,BCT（行業）E50 混合資產基金,1.8135,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) E70 Mixed Asset Fund,BCT（行業）E70 混合資產基金,1.8612,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Flexi Mixed Asset Fund,BCT（行業）靈活混合資產基金,1.5615,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Global Bond Fund,BCT（行業）環球債券基金,1.2154,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Global Equity Fund,BCT（行業）環球股票基金,2.6221,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) Hong Kong Equity Fund,BCT（行業）香港股票基金,3.0834,,,3a,"4b, 4e"
consolidated_list_for_sep_22_read_only.xls,2022-09-30,September 2022,Bank Consortium Trust Company Limited,銀聯信託有限公司,BCT (MPF) Industry Choice,BCT（強積金）行業計劃,BCT (Industry) MPF Conservative Fund,BCT（行業）強積金保守基金,1.1401,,,3a,"4b, 4e"
